Position,First Name,Last Name,Hometown,College NCAA/NJCAA Athlete
GK,Malcom,Edwards,"Kingston, Jamaica",Fitchburg State University
GK,Thomas,Borkowski,"Belmont, MA",
GK,Francis,Owusu,"Accra, Ghana",
DF,Tucker,Rogers,"Manhattan, NY",Lesley University
DF,Raj,Anandarasan,"Old Bridge, NJ",Lesley University
DF,Amadou,Ndiaye,"Dorchester, MA",Bunker Hill Community College
DF,Yasser,Modine,"Casablanca, Morocco",Lesley University
DF,Alejandro ,Guerrero,"Bogota, Colombia",
DF,Alexander,DaCruz,"Somerville, MA",
DF,Gavin,Sullivan,"Fort Lauderale, FL",
DF,Kevin,Silvestre,"Resplendor, Brazil",
DF,Mo,Amine,"Casablanca, Morocco",
DF,Colin,Levis,"Attleboro, MA",
DF,Erick,Silva,"Somerville, MA",
DF,Brodie,Caine,"Kittery, ME",
MF,Jair,Santos,"Somerville, MA",Fitchburg State University
MF,Luiz,Gustavo,"Nova Venecia, Brazil",
MF,Jack,Benjamin,"Portsmouth, NH",
MF,Ryan,O'Donnell,"Westerly, RI",
MF,Ihury,Fernandes,"Resplendor, Brazil",
MF,Adedolapo,Adeniyi ,"Lagos, Nigeria",
MF,John,Massaquoi,"Freetown, Sierra Leone",
MF,Mali,Said,"Krefeld, Germany",
FW,Josue,Guevara,"Somerville, MA",
FW,Owen,Sheehy,"Somerville, MA",
FW,Roodchyl,Pauleon,"Waltham, MA",
FW,Douglas,Oliveira,"Resplendor, Brazil",
FW,Marc,Kenny,"Waltham, MA",Lesley University
FW,Joseph,Saidu,"Freetown, Sierra Leone",Bunker Hill Community College
FW,Enzo,Antunes,"Sorocaba, Brazil",
FW,Kai,Summers,"Arlington, MA",
FW,Alex,Manioudakis,"Boston, MA",
